"id_cliente","tipo_doc","tipo_disp","id_disp","num_trx"
6861792605025121280,1,"POS",14812028,3
1552970090928921600,1,"POS",14388938,3
3539339627033221120,1,"POS",10313583,2
5595554501572542464,1,"POS",14358071,4
1083075446973846144,1,"POS",10604916,6
3443389306735428096,1,"POS",14540827,34
5302863241492814848,1,"POS",11096278,1
927577048815458816,1,"POS",13255047,1
8167427090102628352,1,"POS",11601630,1
3581275027477818368,1,"POS",10604916,18
5557768610713368576,1,"POS",12078598,1
3949050160426633216,1,"POS",13336466,1
7723299635467742208,1,"POS",10305233,1
1953272888503910912,1,"POS",13541800,1
1859879485725137664,1,"POS",12302436,1
121597407437078368,1,"POS",12201554,1
3146649056341123584,1,"POS",14312961,3
3758696084976447488,1,"POS",11127065,4
7202603557917325312,1,"POS",11096278,1
597275936554222336,1,"POS",10327682,1
3949050160426633216,1,"POS",14214894,2
6286502101250435072,1,"POS",13289657,3
7146762631732757504,1,"POS",14524102,1
2873464731651206656,1,"POS",11540085,6
2698762617604620800,1,"POS",11463007,2
6199442504166358016,1,"POS",11254026,2
3379985087258147840,1,"POS",14304075,1
2215135691114627328,1,"POS",14311997,8
4107310317500506112,1,"POS",14015358,1
3148818955445755904,1,"POS",11805868,1
8675367104483531776,1,"POS",12679510,1
8902680471646944256,1,"POS",13947387,5
2214959352829479424,1,"POS",10668622,1
8704840164365411328,1,"POS",14962260,1
1274984866458701312,1,"POS",11815180,2
8232016917354497024,2,"POS",12445185,1
5593337619122437120,1,"POS",10313773,1
203603950099350304,1,"POS",10327682,11
8681641385875568640,1,"POS",14008353,2
7146762631732757504,1,"POS",14311997,1
6893302338141864960,1,"POS",14607196,1
696757799857584512,1,"POS",12866471,1
3583655225225242112,1,"POS",11608452,2
8425167983323942912,1,"POS",15213341,1
2685447207504279552,1,"POS",15254519,1
2440387109905800192,1,"POS",14867923,3
5851358460348793856,1,"POS",10778520,1
1071693800328936576,1,"POS",12419040,1
94286789781875520,1,"POS",14427488,3
6498807501357468672,1,"POS",15593536,1
7616645866524969984,1,"POS",13413984,1
7375796124629268480,1,"POS",14752851,1
1689334183361150464,1,"POS",10305233,1
5818661188046187520,1,"POS",14292130,1
5231218748597275648,1,"POS",14001291,2
7716006063543891968,1,"POS",13575071,10
7817155872797041664,1,"POS",14405559,1
714543037155044608,1,"POS",14292130,1
2360442545302020608,1,"POS",11790706,1
5807856896861462528,1,"POS",14292130,1
4153740058425851904,1,"POS",15322241,1
7945476973036591104,1,"POS",14326664,1
2437178310241175040,1,"POS",12302378,2
8773652492152211456,1,"POS",14408041,36
8680986437200902144,1,"POS",15084791,6
7366200254719993856,1,"POS",13046479,1
8563555927505217536,1,"POS",15756968,1
9144295405406454784,1,"POS",11587953,1
2430192732184101888,1,"POS",10531317,1
1118105154346309760,1,"POS",12993333,3
3785376175516210176,1,"POS",12445185,1
7359549785015937024,1,"POS",14185227,1
4251358838232561152,1,"POS",10932812,1
2688024907800909824,1,"POS",15084791,4
6557549308929739776,1,"POS",12547568,1
3467509281318045184,1,"POS",14292130,3
4426753868183444992,1,"POS",13333372,3
3969826326912935936,1,"POS",14564538,3
6823993864039645184,1,"POS",11152808,2
6557549308929739776,1,"POS",11303609,4
6181728696968346624,1,"POS",11843760,1
8633438018896919552,1,"POS",13472063,1
7451135023715322880,1,"POS",12481628,2
6644964499869674496,1,"POS",10853612,2
8144651074848819200,1,"POS",13947387,2
7141583755991474176,1,"POS",11127065,3
1525994889755414528,1,"POS",12494324,1
9144295405406454784,1,"POS",11576899,2
3896896968695392768,1,"POS",13509625,1
